VueOpeKey;VueTipKey;VueTipDescripcion;VueCatKey;VueCatDescripcion;OpeDsgKey;OpeKey;OpeDescripcion;OpeDsgDesignadorOACI;VueOpeVueloNumero;VueOpeMatricula;AerTipKey;AerTipDesignador;VueOpeOrigenArpKey;VueOpeAeropuertoOrigen;VueOpeDestinoArpKey;VueOpeAeropuertoDestino;VueOpeFecha;VueOpeFechaSalidaPlan;VueOpeHoraSalidaPlan;VueOpeFechaSalidaReal;VueOpeHoraSalidaReal;VueOpeFechaLlegadaPlan;VueOpeHoraLlegadaPlan;VueOpeFechaLlegadaReal;VueOpeHoraLlegadaReal;VueOpeNivel;VueOpeTD;VueOpeLP;VueOpeUsuarioC;VueOpeFechaC;VueOpeFechaHoraC;VueOpeAeropuertoC;VueOpeUsuarioM;VueOpeFechaM;VueOpeFechaHoraM;VueOpeAeropuertoM;ItiAutVueFchKey;VueBIOperacionDEP;VueBIOperacionARR;VueBIValidacionItinerarioDEP;VueBIValidacionItinerarioARR
29620;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-21;2018-01-21;2230;;;2018-01-28;0130;;;120;0;0;;;;;;;;;;;;;
29621;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;;1;AT76;1;MHTG;4;MHRO;2018-01-22;2018-01-22;2230;;;2018-01-28;0130;;;130;0;0;;;;;;;;;;;;;
29622;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-23;2018-01-23;0020;;;2018-01-28;0300;;;140;0;0;;;;;;;;;;;;;
29623;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;TGTRF;1;AT76;1;MHTG;4;MHRO;2018-01-24;2018-01-24;0020;;;2018-01-28;0300;;;220;0;0;;;;;;;;;;;;;
29624;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;TGTRF;1;AT76;1;MHTG;4;MHRO;2018-01-25;2018-01-25;0020;;;2018-01-28;0300;;;170;0;0;;;;;;;;;;;;;
29625;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYJ;1;AT76;1;MHTG;4;MHRO;2018-01-26;2018-01-26;0020;;;2018-01-27;0300;;;130;0;0;;;;;;;;;;;;;
29626;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYJ;1;AT76;1;MHTG;4;MHRO;2018-01-27;2018-01-27;2230;;;2018-01-27;0130;;;130;0;0;;;;;;;;;;;;;
29627;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-28;2018-01-28;2230;;;2018-01-27;0130;;;130;0;0;;;;;;;;;;;;;
29628;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;TGTRD;1;AT76;1;MHTG;4;MHRO;2018-01-29;2018-01-29;2230;;;2018-01-27;0130;;;210;0;0;;;;;;;;;;;;;
29629;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYJ;1;AT76;1;MHTG;4;MHRO;2018-01-30;2018-01-30;2230;;;2018-01-26;0130;;;160;0;0;;;;;;;;;;;;;
29630;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;;1;AT76;1;MHTG;4;MHRO;2018-01-31;2018-01-31;0020;;;2018-01-26;0300;;;210;0;0;;;;;;;;;;;;;
